headword,clause,published,worked_example,template,entry_level
"Crosswalk, control",5.2,yes,yes,no,no
"CSF functions",5.5,yes,no,no,no
"CSF Profile",5.5,yes,no,no,no
"CSF Tiers",5.5,yes,no,no,no
"CVSS",4.10,yes,yes,no,no
"Cyber security vs GRC",1.8,yes,no,no,no
"Data controller vs processor",5.13,yes,no,no,yes
"Data subject rights",5.13,yes,no,no,no
"Delegated authority matrix",2.3,yes,no,yes,no
"Description criteria (DC 200)",4.4,yes,no,no,no
"Design effectiveness",4.2,yes,no,no,no
"Deviation vs policy waiver",4.7,yes,no,no,yes
"Deviation, control",4.7,yes,yes,no,yes
"Disaster recovery",3.6,yes,no,no,no
"DPIA",5.13,yes,no,no,no
"Due diligence, supplier",3.8,yes,no,yes,no
"Emergency change",4.5,yes,no,no,no
"Emerging risk",3.9,yes,no,no,no
"ePHI",5.10,yes,no,no,no
"Essential cyber hygiene (IG1)",5.8,yes,no,no,no
"Evidence",4.2,yes,yes,no,yes
"Exception log",3.10,yes,no,yes,no
"Exception, policy",3.10,yes,no,yes,no
"Exclusion, Annex A",5.3,yes,no,no,no
"Exit criteria, audit",4.3,yes,no,no,no
"FAIR model",3.12,yes,no,no,no
"Fieldwork, audit",4.3,yes,no,no,no
"Findings, audit",4.3,yes,yes,no,no
"First line",1.5,yes,no,no,yes
"Fourth-party risk",3.8,yes,no,no,no
"Framework",5.0,yes,no,no,yes
"Framework, kinds of",5.0,yes,no,no,yes
"GDPR",5.13,yes,no,no,yes
"GDPR fines",5.13,yes,no,no,no
"General Data Protection Regulation",5.13,yes,no,no,no
"GIAC (SANS)",6.3,yes,no,no,no
"GOVERN function",5.5,yes,no,no,no
"Governance",2.0,yes,no,no,yes
"Governance vs management",2.4,yes,no,no,yes
"GRC",1.1,yes,yes,no,yes
"GRC analyst",6.1,yes,no,no,yes
"GRC vs cyber security",1.8,yes,no,no,yes
"GRC vs internal audit",1.4,yes,no,no,yes
"HIPAA",5.10,yes,no,no,no
"HIPAA risk analysis",5.10,yes,no,no,no
"HIPAA Security Rule",5.10,yes,no,no,yes
"Horizon scanning",3.9,yes,no,no,no
"ICIF vs ERM",5.6,yes,no,no,yes
"Impact scale",3.1,yes,yes,yes,no
"Implementation Groups (IG1 to IG3)",5.8,yes,no,no,no
"Incident vs issue",1.7,yes,no,no,no
"Inherent risk",3.1,yes,no,no,yes
"Internal audit",1.4,yes,no,no,yes
"Is GDPR a law",5.13,yes,no,no,no
"Is GRC technical",1.8,yes,no,no,yes
"Is NIST 800-53 certifiable",5.7,yes,no,no,no
"Is NIST CSF certifiable",5.5,yes,no,no,no
"Is PCI DSS a law",5.11,yes,no,no,no
"Is privacy mandatory in SOC 2",5.4,yes,no,no,no
"Is SOC 2 a certification",5.12,yes,no,no,no
"Is there a HIPAA certification",5.10,yes,no,no,no
"ISMS",5.1,yes,no,no,yes
"ISO 31000",3.0,yes,no,no,no
"ISO/IEC 27001",5.1,yes,yes,no,no
"Issue log",3.0,yes,no,yes,no
"Key risk indicator",3.11,yes,yes,yes,yes
"KRI",3.11,yes,yes,no,yes
"KRI vs KPI",3.11,yes,no,no,yes
"Lawful basis (GDPR)",5.13,yes,no,no,no
"Least privilege",4.1,yes,no,no,yes
"Likelihood scale",3.1,yes,yes,yes,no
"Lines model, three",1.5,yes,no,no,yes
"Management review",5.3,yes,no,no,no
"Management vs governance",2.4,yes,no,no,no
"Mapping, obligation to control",4.1,yes,yes,no,no
"Maturity model",5.9,yes,no,no,yes
"Maturity vs effectiveness",5.9,yes,no,no,yes
"Maturity, control",5.9,yes,no,no,yes
"Merchant levels",5.11,yes,no,no,no
"Mitigate, risk treatment",3.3,yes,no,no,yes
"Monitoring, control",4.8,yes,no,no,yes
"NIST CSF 2.0",5.5,yes,no,no,yes
"NIST Cybersecurity Framework",5.5,yes,no,no,no
"NIST SP 800-53",5.7,yes,no,no,yes
"Nonconformity",4.3,yes,no,no,no
"Numbering, clause",1.0,yes,no,no,no
"Obligation register",4.1,yes,no,yes,no
"Operating effectiveness",4.2,yes,yes,no,no
"Owner, risk",3.1,yes,no,no,yes
"Patch management",4.10,yes,no,no,no
"PCI DSS",5.11,yes,no,no,yes
"PCI DSS v4.0",5.11,yes,no,no,no
"Policy",2.1,yes,yes,no,yes
"Policy hierarchy",2.1,yes,yes,no,no
"Privacy criterion",5.4,yes,no,no,no
"Procedure",2.1,yes,no,no,yes
"Processing integrity criterion",5.4,yes,no,no,no
"QSA",5.11,yes,no,no,no
"Quantification, risk",3.12,yes,no,no,no
"Quantitative risk analysis",3.12,yes,no,no,yes
"Questionnaire, security",4.9,yes,no,yes,yes
"Recovery point objective (RPO)",3.7,yes,yes,no,no
"Recovery time objective (RTO)",3.7,yes,yes,no,no
"Register, risk",3.1,yes,yes,no,yes
"Remediation SLA",4.10,yes,no,no,no
"Report on compliance (ROC)",5.11,yes,no,no,no
"Required vs addressable (HIPAA)",5.10,yes,no,no,yes
"Residual risk",3.1,yes,no,no,yes
"Review date",3.1,yes,no,no,no
"Risk",3.0,yes,no,no,yes
"Risk appetite statement",3.2,yes,yes,yes,no
"Risk Management Framework (RMF)",5.7,yes,no,no,no
"Risk matrix",1.1,yes,yes,no,yes
"Risk treatment",3.3,yes,yes,no,yes
"Risk vs compliance",1.9,yes,no,no,yes
"Risk vs issue vs incident",1.7,yes,no,no,yes
"Risk workshop",3.13,yes,no,yes,no
"Roles, GRC",6.0,yes,no,no,yes
"Safeguard (CIS)",5.8,yes,no,no,no
"Sampling",4.3,yes,yes,no,no
"Scale, risk",3.1,yes,yes,yes,no
"Scope, ISMS",5.3,yes,yes,no,no
"Second line",1.5,yes,no,no,yes
"Security criterion",5.4,yes,no,no,no
"Self-assessment questionnaire (SAQ)",5.11,yes,no,no,no
"Self-review threat",1.5,yes,no,no,no
"Shall vs should",5.0,yes,no,no,yes
"SIG questionnaire",4.9,yes,no,no,no
"SIG vs CAIQ",4.9,yes,no,no,yes
"SOC 1 report",5.12,yes,no,no,no
"SOC 1 vs SOC 2 vs SOC 3",5.12,yes,no,no,yes
"SOC 2",5.1,yes,yes,no,no
"SOC 2 assertion",4.4,yes,no,no,no
"SOC 2 categories",5.4,yes,no,no,yes
"SOC 2 exception",4.7,yes,no,no,no
"SOC 3 report",5.12,yes,no,no,no
"SOC reports",5.12,yes,no,no,no
"SOX 404",5.6,yes,no,no,no
"Standard",2.1,yes,no,no,yes
"Statement of applicability",5.3,yes,yes,yes,no
"Supplier risk",3.8,yes,yes,no,no
"Terms of reference",2.5,yes,no,no,yes
"Testing, control",4.2,yes,yes,no,no
"Third line",1.5,yes,no,no,yes
"Third-party risk management",3.8,yes,yes,yes,yes
"Tolerance, risk",3.2,yes,no,no,yes
"TPRM",3.8,yes,no,no,no
"Training, GRC",6.3,yes,no,no,yes
"Transfer, risk",3.3,yes,no,no,no
"Transfer, risk treatment",3.3,yes,no,no,no
"Treatment plan",3.3,yes,yes,yes,no
"Trust Services Criteria",5.4,yes,no,no,yes
"Type I and Type II",5.1,yes,no,no,yes
"Type I vs Type II (SOC)",5.12,yes,no,no,yes
"UK GDPR",5.13,yes,no,no,no
"Vendor due diligence",3.8,yes,no,yes,no
"Vendor risk",3.8,yes,yes,no,no
"Vocabulary, GRC",1.2,yes,no,no,yes
"Vulnerability management",4.10,yes,yes,no,yes
"Vulnerability scan vs penetration test",4.10,yes,no,no,yes
"Waiver, policy",3.10,yes,no,yes,no
"Workshop, risk",3.13,yes,no,yes,no
